name,category,country_code,region,city,status,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at
24PageBooks,Technology,USA,"Rochester, New York",Rochester,closed,50000.0,1,2010-01-01,2011-05-24,2011-05-24
24Symbols,Technology,ESP,Madrid,Madrid,operating,2942768.88931116,3,2010-08-07,2010-10-20,2013-05-15
24tidy,Finance & FinTech,CHN,Beijing,Beijing,operating,1856561.0,2,2012-08-13,2013-12-27,2014-07-14
250ok,Technology,USA,Indianapolis,Indianapolis,operating,300000.0,2,2012-01-01,2012-09-01,2014-03-01
25eight,Manufacturing & Industrial,USA,SF Bay Area,San Francisco,closed,25000.0,1,2007-02-21,2010-01-26,2010-01-26
265 Network,Technology,CHN,Beijing,Beijing,operating,2000000.0,1,2004-01-01,2004-12-01,2004-12-01
27 bards,Technology,USA,SF Bay Area,Stanford,operating,925124.5,1,2011-01-01,2012-11-06,2012-11-06
280 North,Technology,USA,SF Bay Area,San Francisco,acquired,250000.0,2,2006-04-14,2008-01-01,2008-03-01
28msec,Technology,USA,SF Bay Area,Palo Alto,operating,5844811.0,1,2008-01-01,2013-10-28,2013-10-28
29West,Unknown,Unknown,Unknown,Unknown,acquired,15000000.0,1,2005-10-12,2007-03-15,2007-03-15
2AdPro Media Solutions,Marketing & Advertising,USA,Los Angeles,Woodland Hills,operating,750000.0,1,2006-09-01,2008-03-31,2008-03-31
2B Angels,Unknown,ISR,Tel Aviv,Tel Aviv,operating,3000000.0,1,2009-01-01,2013-11-01,2013-11-01
2C2P,E-Commerce & Retail,SGP,Unknown,Unknown,operating,10000000.0,3,2003-01-01,2011-01-01,2015-04-27
2can,Finance & FinTech,RUS,Moscow,Moscow,operating,8300000.0,3,2012-04-12,2012-09-01,2015-11-18
2Catalyze,Technology,CAN,Toronto,Toronto,operating,6785876.0,1,2008-01-01,2010-08-25,2010-08-25
2Checkout,E-Commerce & Retail,USA,"Columbus, Ohio",Columbus,operating,72000000.0,2,1999-01-01,2014-07-16,2015-09-15
2d2c,Technology,USA,Chicago,Lincolnshire,operating,2941000.0,3,2007-07-20,2009-04-07,2011-01-18
2degreesmobile,Technology,NZL,Auckland,Auckland,operating,165000000.0,1,2009-01-01,2013-06-18,2013-06-18
2DHeat,Energy & Clean Tech,GBR,Warrington,Warrington,operating,474116.56105524,4,2011-11-30,2014-10-24,2014-10-24
2Duche,E-Commerce & Retail,CHN,Shanghai,Shanghai,operating,16750000.0,2,2005-04-16,2006-06-01,2010-08-01
2GO Mobile Solutions,Technology,USA,Dallas,Plano,operating,275000.0,1,2008-01-01,2010-04-09,2010-04-09
2heuresavant,Media & Entertainment,FRA,Paris,Paris,operating,33457.0,1,2010-01-01,2010-07-01,2010-07-01
2houses,Technology,BEL,Brussels,Bel,operating,966728.0,2,2011-05-01,2011-08-08,2012-11-09
2lemetry,Technology,USA,Denver,Denver,acquired,4000000.0,1,2011-09-01,2015-01-09,2015-01-09
2mee,Media & Entertainment,Unknown,Unknown,Unknown,closed,100000.0,1,2014-01-25,2015-04-16,2015-04-16
2Morrow Inc,Health & Biotechnology,USA,Seattle,Kirkland,operating,300000.0,2,2012-01-01,2014-05-15,2015-03-16
2nd Screen Games,Unknown,USA,SF Bay Area,San Francisco,closed,5087499.5,1,2011-07-01,2012-12-01,2012-12-01
"2nd Story Software, Inc.",Technology,USA,Cedar Rapids,Cedar Rapids,acquired,85000000.0,1,1998-02-15,2005-03-30,2005-03-30
2nd Watch,Technology,USA,Seattle,Seattle,operating,37644420.0,4,2010-01-01,2011-12-06,2014-10-14
2NDNATURE,Other,USA,SF Bay Area,Santa Cruz,operating,20000.0,1,2004-01-01,2013-03-31,2013-03-31
2Nite2Nite.net,Marketing & Advertising,USA,Sacramento,Elk Grove,operating,6000.0,1,2013-09-13,2014-09-13,2014-09-13
2pm Technologies,Technology,IRL,IRL - Other,Ballinasloe,closed,3167062.0,1,1999-11-23,2002-11-01,2002-11-01
2RedBeans,Social & Communication,USA,SF Bay Area,Dublin,operating,2300000.0,1,2010-08-01,2014-10-15,2014-10-15
2sms,Social & Communication,USA,Chicago,Schaumburg,operating,939000.0,1,2007-01-01,2007-11-01,2007-11-01
2theloo,Food & Hospitality,Unknown,Unknown,Unknown,operating,250000.0,1,2011-02-17,2013-07-10,2013-07-10
2threads,E-Commerce & Retail,AUS,Sydney,Sydney,operating,300000.0,2,2004-05-01,2007-08-01,2008-06-01
2U Inc.,Education & EdTech,USA,MD - Other,Hyattsville,ipo,95875000.0,6,2008-01-01,2009-03-25,2013-10-21
2Web Technologies,Technology,Unknown,Unknown,Unknown,acquired,6650000.0,1,2000-03-14,2001-12-01,2001-12-01
2Win-Solutions,Business Services,ISR,Tel Aviv,Ra'anana,closed,250000.0,1,2006-09-07,2008-01-01,2008-01-01
2Wire,Technology,USA,SF Bay Area,San Jose,acquired,162000000.0,5,1998-02-12,1999-11-01,2003-05-12
3 day Blinds,Real Estate & Construction,USA,Anaheim,Irvine,acquired,10500000.0,1,1984-01-01,1998-03-13,1998-03-13
3 Four 5 Group,Energy & Clean Tech,USA,Las Vegas,Las Vegas,operating,2000000.0,1,2012-12-04,2013-10-21,2013-10-21
3 Kinds of Ice,Unknown,GBR,London,London,closed,8757424.078096654,1,2015-01-10,2015-01-10,2015-01-10
3 Minute,Technology,JPN,Tokyo,Tokyo,operating,1050000.0,1,2013-05-26,2015-02-12,2015-02-12
3-V Biosciences,Health & Biotechnology,USA,SF Bay Area,Menlo Park,operating,128477567.0,7,2007-03-01,2007-05-22,2015-03-17
30 Second Showcase,Technology,USA,Newark,Clifton,operating,25000.0,1,2013-04-01,2013-05-20,2013-05-20
